id,tweet_id,"tweet_text","tweet_source","tweet_created_time",tweet_retweet_count,tweet_favorite_count,"tweet_pre_process_result",tweet_polarity
871000,487039019553800192,"RT @FitnessxM: RT if you wanna do the color run 😍 http://t.co/7kMh17MBNU","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Thu Jul 10 01:02:05 +0000 2014",0,0,"you wanna the color run",NULL
6754313,489933051535712256,"RT @jimsciutto: My heart goes out to the families of passengers &amp; crew of #MH17 295 lives unwittingly caught up in #Ukraine crisis","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Fri Jul 18 00:41:56 +0000 2014",0,0,"My heart go to family passenger crew MH17 295 life unwittingly caught in Ukraine crisis",NULL
6754354,489933059924717568,"My prayers go out to all the family's that were on flight #MH17","<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>","Fri Jul 18 00:41:58 +0000 2014",0,0,"My prayer go to the family's were flight MH17",NULL
6754645,489933122830893057,"RT @AC360: If it walks like a duck, it usually is a duck - @milesobrien on the likelihood of a missile strike on #MH17. #AC360","<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","Fri Jul 18 00:42:13 +0000 2014",0,0,"If walk like duck usually a duck likelihood a missile strike on MH17 AC360",NULL
6754662,489933127062523904,"I am shocked that #MH17 crashed. We r launching an immediate investigation. @NajibRazak #PrayForMH17 http://t.co/SgS2F5JWp7","<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Fri Jul 18 00:42:14 +0000 2014",0,0,"I shocked MH17 crashed We r launching immediate investigation PrayForMH17",NULL
6754687,489933135421792256,"RT @Runners_JKT: Deep Condolences For The Gaza Tragedy #PrayForGaza
Deep Condolences For The Malaysia Airlines MAS-MH17 Tragedy
#PrayForMH1…","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Fri Jul 18 00:42:16 +0000 2014",0,0,"Deep Condolences For The Gaza Tragedy PrayForGaza Deep Condolences For The Malaysia Airlines MAS-MH17 Tragedy PrayForMH1…",NULL
6754983,489933206750101505,"RT @MichaelSkolnik: RT @HuffingtonPost: Several passengers aboard flight #MH17 that crashed were WHO staffers headed to Intl AIDS conferenc…","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Fri Jul 18 00:42:33 +0000 2014",0,0,"Several passenger aboard flight MH17 crashed WHO staffer headed Intl AIDS conferenc…",NULL
6755430,489933315806625792,"With all that's happening in the world tonight with #MH17 who the fuck is making #BestMasageEver trend at number 2?! http://t.co/3QFDVPFIHw","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Fri Jul 18 00:42:59 +0000 2014",0,0,"With that's happening the world tonight MH17 the fuck making BestMasageEver trend number 2",NULL
6755432,489933315793625089,"RT @WilliamsJon: Obama called Dutch PM Rutte on #MH17: US to contribute immediate assistance for prompt, credible, unimpeded international …","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Fri Jul 18 00:42:59 +0000 2014",0,0,"Obama called Dutch PM Rutte MH17: US contribute immediate assistance prompt credible unimpeded international …",NULL
6755651,489933370311188480,"Wake up to hear about flight #MH17 being shot down aswell as a suicide bomber in #Baghdad. World's fucked","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Fri Jul 18 00:43:12 +0000 2014",0,0,"Wake to hear flight MH17 shot aswell a suicide bomber Baghdad World's fucked",NULL
6755712,489933382898294784,"RT @flightradar24: Singapore Airlines SQ351 (B777) and Air India AI113 (B787) were about 25 km from #MH17 when it disappeared. http://t.co/…","<a href=\"http://www.tweetcaster.com\" rel=\"nofollow\">TweetCaster for Android</a>","Fri Jul 18 00:43:15 +0000 2014",0,0,"Singapore Airlines SQ351 (B777) Air India AI113 (B787) about 25 km MH17 it disappeared …",NULL
6755752,489933391278534657,"Malaysian airlines have released a statement. Flights will now be taking a different route http://t.co/4J9gqzCnp3 #MH17","<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>","Fri Jul 18 00:43:17 +0000 2014",0,0,"Malaysian airline released statement Flights now taking different route MH17",NULL
6755860,489933420630638592,"RT @HuffingtonPost: Several passengers aboard flight #MH17 that crashed were WHO staffers headed to an AIDS conference http://t.co/kwd2hiHb…","<a href=\"http://www.handmark.com\" rel=\"nofollow\">TweetCaster for iOS</a>","Fri Jul 18 00:43:24 +0000 2014",0,0,"Several passenger aboard flight MH17 crashed WHO staffer headed an AIDS conference …",NULL
6756194,489933496144498689,"RT @AlyssaValdez2: #PrayForMH17","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Fri Jul 18 00:43:42 +0000 2014",0,0,"PrayForMH17",NULL
6756303,489933525513023488,"RT @ThaSoapBox: oh word? RT @Gawker: A number of prominent AIDS researchers died in the MH17 crash. http://t.co/4EZC5AQ8th","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Fri Jul 18 00:43:49 +0000 2014",0,0,"oh word A number prominent AIDS researcher died the MH17 crash",NULL
6756324,489933529703129088,"\"@RT_com: Putin starts meeting with minute of silence for victims of Malaysia Airlines #MH17. #Putin blew up the plane what a #hipocrite","<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Fri Jul 18 00:43:50 +0000 2014",0,0,"_com: Putin start meeting minute silence victim Malaysia Airlines MH17 Putin blew the plane a hipocrite",NULL
6756471,489933563270144001,"#PrayForMH17","<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Fri Jul 18 00:43:58 +0000 2014",0,0,"PrayForMH17",NULL
6756547,489933584241676288,"RT @JinnyBoy: My prayers are with everyone on board MH17","<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Fri Jul 18 00:44:03 +0000 2014",0,0,"My prayer with everyone board MH17",NULL
6756587,489933592596717568,"RT @GeorgeHatcher: #MH17 Also 154 Dutch, 27 Australian, 38 Malaysian - 15 malaysian crew, 11 Indonesian, 4 German, 4 Belgians, 3 Philippine…","<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","Fri Jul 18 00:44:05 +0000 2014",0,0,"MH17 Also 154 Dutch 27 Australian 38 Malaysian 15 malaysian crew 11 Indonesian 4 German 4 Belgians 3 Philippine…",NULL
6757025,489933689095073792,"RT @markhillary: Why are some news outlets saying 23 Americans dead in #MH17 ? Don't they mean 295 *people*? Why keep on dividing people fu…","<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Fri Jul 18 00:44:28 +0000 2014",0,0,"Why some news outlet saying 23 Americans dead MH17 Don't mean 295 *people* Why keep dividing people fu…",NULL
6757256,489933739430924288,"Please keep my aunt, uncle, and cousin in your prayers. They have just lost a son and brother with his family to the MH17 crash.","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Fri Jul 18 00:44:40 +0000 2014",0,0,"Please keep aunt uncle cousin your prayer They just lost son brother his family the MH17 crash",NULL
6757466,489933793927520258,"MH17 disaster: Is this the man who shot down the plane? \"We did warn you - do not fly in our sky\" http://t.co/24lGbbIKCS","<a href=\"https://dev.twitter.com/docs/tfw\" rel=\"nofollow\">Twitter for Websites</a>","Fri Jul 18 00:44:53 +0000 2014",0,0,"MH17 disaster: Is the man shot the plane We warn - not fly our sky",NULL
6757471,489933793944289280,"RT @SpanishKash_: 2000+ killed in Iraq in one month.

200+ killed in Gaza in a week.

200+ dead in MH17 in one day.

Today human life has n…","<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","Fri Jul 18 00:44:53 +0000 2014",0,0,"2000+ killed Iraq one month 200+ killed Gaza a week 200+ dead MH17 one day Today human life n…",NULL
6757589,489933827490336768,"RT @JaeChunSoulmate: #PrayForMH17 our hearts, thoughts, prayers goes to the family, friends to the beloved souls. http://t.co/EPC4UmQxnD","<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Fri Jul 18 00:45:01 +0000 2014",0,0,"PrayForMH17 heart thought prayer go the family friend the beloved soul",NULL
6757593,489933827511312384,"RT @Nada_Remah: So many tragedies unfolding.... #PrayForMH17 #PrayForGaza http://t.co/2puEphFvz7","<a href=\"https://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android Tablets</a>","Fri Jul 18 00:45:01 +0000 2014",0,0,"So many tragedy unfolding PrayForMH17 PrayForGaza",NULL
6757643,489933840094220289,"RT @AC360: If it walks like a duck, it usually is a duck - @milesobrien on the likelihood of a missile strike on #MH17. #AC360","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Fri Jul 18 00:45:04 +0000 2014",0,0,"If walk like duck usually a duck likelihood a missile strike on MH17 AC360",NULL
6757677,489933848466432000,"RT @shrutihaasan: Very saddened by the news of flight mh17 what's happening :(","<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","Fri Jul 18 00:45:06 +0000 2014",0,0,"Very saddened the news flight mh17 what's happening :(",NULL
6757922,489933902971412481,"It is indeed... RT @Galrahn Very latest from @AP on #MH17. Really informative, well done article. http://t.co/RRIAk5cWZx …","<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","Fri Jul 18 00:45:19 +0000 2014",0,0,"It indeed Very latest on MH17 Really informative well done article …",NULL
6757988,489933919765024768,"RT @PdudeSpencer: #PrayForMH17 pray for my sister, the crews and all the passengers safety. at this point i only want my family can be toge…","<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Fri Jul 18 00:45:23 +0000 2014",0,0,"PrayForMH17 pray sister crew all passenger safety this point only want my family be toge…",NULL
6758099,489933944922456064,"RT @AIDSLAW: Our hearts are broken. Thinking of those AIDS activists, researchers and allies who were lost in #MH17 enroute to #AIDS2014.","<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>","Fri Jul 18 00:45:29 +0000 2014",0,0,"Our heart broken Thinking those AIDS activist researcher ally were lost MH17 enroute AIDS2014",NULL
6758183,489933961691295744,"#Malaysia Airlines Flight #MH17 passenger Cor Pan’s last #Facebook post proves tragically prophetic http://t.co/QLrAmpDYz6 via @nationalpost","<a href=\"https://dev.twitter.com/docs/tfw\" rel=\"nofollow\">Twitter for Websites</a>","Fri Jul 18 00:45:33 +0000 2014",0,0,"Malaysia Airlines Flight MH17 passenger Cor Pan’s last Facebook post prof tragically prophetic via",NULL
6758384,489934007866761217,"(♥EudryLantiqua♥) What Weapons Could Have Brought Down MH17 - And Why: An American offic... http://t.co/aa8Anuaw0Z (♥EudryLantiqua♥)","<a href=\"http://linkis.com\" rel=\"nofollow\">Linkis.com</a>","Fri Jul 18 00:45:44 +0000 2014",0,0,"(♥EudryLantiqua♥) What Weapons Could Have Brought Down MH17 And Why: An American offic (♥EudryLantiqua♥)",NULL
6758535,489934045615509504,"RT @VeraVanHorne: CNN says that #MH17 was redirected by Polish dispatcher, because of huge storm over Crimea. See data - NO STORM. http://t…","<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","Fri Jul 18 00:45:53 +0000 2014",0,0,"CNN say MH17 redirected Polish dispatcher of huge storm Crimea See data NO STORM http: t…",NULL
6758537,489934045598347266,"RT @nouckems: And today, after the tragedy in #Gaza and what happened to flight #MH17, please remember this: http://t.co/sD7Msq2MAP","<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","Fri Jul 18 00:45:53 +0000 2014",0,0,"And today the tragedy Gaza what happened flight MH17 please remember this:",NULL
6758603,489934058160676864,"RT @MichaelSkolnik: There were 3 infants onboard flight #MH17.","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Fri Jul 18 00:45:56 +0000 2014",0,0,"There 3 infant onboard flight MH17",NULL
6758832,489934112686223361,"@MAS said 298 people boarded MH17 comprising 283 passengers, 15 crew #MH17 #PrayMH17","<a href=\"http://www.facebook.com/twitter\" rel=\"nofollow\">Facebook</a>","Fri Jul 18 00:46:09 +0000 2014",0,0,"said 298 people boarded MH17 comprising 283 passenger 15 crew MH17 PrayMH17",NULL
6759004,489934154650628097,"RT @PavloKlimkin: President Poroshenko ordered investigation of terrorist attack on #MH17 We seek urgent assistance of ICAO&amp;US National Tra…","<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Fri Jul 18 00:46:19 +0000 2014",0,0,"President Poroshenko ordered investigation terrorist attack MH17 We seek urgent assistance ICAO US National Tra…",NULL
